timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections
2026-04-05T18:15:43.334,2.02,496.17,79.0,0.0,0.0,9
2026-04-05T18:15:43.662,2.16,171.6,79.3,77.9,0.0,8
2026-04-05T18:15:43.963,2.24,289.38,79.6,96.9,0.0,10
2026-04-05T18:15:44.126,2.4,152.79,79.6,96.9,0.0,8
2026-04-05T18:15:44.359,2.51,225.95,79.7,97.0,0.0,8
2026-04-05T18:15:44.603,2.62,234.44,79.7,97.0,0.0,8
2026-04-05T18:15:44.721,2.82,108.51,79.7,97.0,0.0,9
2026-04-05T18:15:44.827,3.04,97.47,79.7,97.0,0.0,9
2026-04-05T18:15:44.944,3.26,110.48,79.8,89.8,0.0,7
2026-04-05T18:15:45.055,3.49,101.11,79.8,89.8,0.0,11
2026-04-05T18:15:45.164,3.74,98.72,79.8,89.8,0.0,9
2026-04-05T18:15:45.268,4.0,95.46,79.8,89.8,0.0,8
2026-04-05T18:15:45.379,4.25,101.67,79.7,81.1,0.0,9
2026-04-05T18:15:45.484,4.51,96.75,79.7,81.1,0.0,9
2026-04-05T18:15:45.591,4.78,97.86,79.7,81.1,0.0,11
2026-04-05T18:15:45.702,5.04,101.28,79.7,81.1,0.0,12
2026-04-05T18:15:45.806,5.31,97.29,79.7,81.1,0.0,10
2026-04-05T18:15:45.919,5.56,104.87,79.8,76.6,0.0,10
2026-04-05T18:15:46.030,5.81,102.89,79.8,76.6,0.0,12
2026-04-05T18:15:46.140,6.06,100.08,79.8,76.6,0.0,11
2026-04-05T18:15:46.250,6.33,95.8,79.8,76.6,0.0,11
2026-04-05T18:15:46.356,6.58,97.27,79.8,76.6,0.0,9
2026-04-05T18:15:46.464,6.81,99.55,79.7,79.7,0.0,11
2026-04-05T18:15:46.572,7.03,102.02,79.7,79.7,0.0,12
2026-04-05T18:15:46.686,7.22,104.0,79.7,79.7,0.0,12
2026-04-05T18:15:46.795,7.43,99.95,79.7,79.7,0.0,9
2026-04-05T18:15:46.907,7.61,102.24,79.7,78.1,0.0,10
2026-04-05T18:15:47.017,7.79,100.95,79.7,78.1,0.0,12
2026-04-05T18:15:47.125,7.98,98.33,79.7,78.1,0.0,10
2026-04-05T18:15:47.230,8.15,99.29,79.7,78.1,0.0,11
2026-04-05T18:15:47.333,8.32,97.01,79.7,78.1,0.0,11
2026-04-05T18:15:47.442,8.46,100.8,79.7,81.1,0.0,10
2026-04-05T18:15:47.549,8.59,100.71,79.7,81.1,0.0,10
2026-04-05T18:15:47.658,8.7,101.63,79.7,81.1,0.0,11
2026-04-05T18:15:47.768,8.8,101.03,79.7,81.1,0.0,8
2026-04-05T18:15:47.879,8.9,101.33,79.7,81.1,0.0,8
2026-04-05T18:15:47.988,9.02,97.32,79.7,81.2,0.0,10
2026-04-05T18:15:48.095,9.1,101.1,79.7,81.2,0.0,8
2026-04-05T18:15:48.203,9.19,99.28,79.7,81.2,0.0,9
2026-04-05T18:15:48.310,9.26,100.61,79.7,81.2,0.0,9
2026-04-05T18:15:48.417,9.31,101.61,79.7,80.5,0.0,10
2026-04-05T18:15:48.521,9.42,95.72,79.7,80.5,0.0,8
2026-04-05T18:15:48.633,9.44,103.41,79.7,80.5,0.0,8
2026-04-05T18:15:48.739,9.5,98.84,79.7,80.5,0.0,9
2026-04-05T18:15:48.850,9.54,101.11,79.7,80.5,0.0,9
2026-04-05T18:15:48.959,9.58,100.57,79.7,82.9,0.0,8
2026-04-05T18:15:49.068,9.63,99.22,79.7,82.9,0.0,8
2026-04-05T18:15:49.180,9.64,102.97,79.7,82.9,0.0,10
2026-04-05T18:15:49.292,9.65,102.26,79.7,82.9,0.0,9
2026-04-05T18:15:49.402,9.66,103.09,79.6,81.3,0.0,11
2026-04-05T18:15:49.509,9.7,99.13,79.6,81.3,0.0,9
2026-04-05T18:15:49.616,9.71,102.25,79.6,81.3,0.0,10
2026-04-05T18:15:49.725,9.74,99.55,79.6,81.3,0.0,9
2026-04-05T18:15:49.833,9.74,102.08,79.6,81.3,0.0,11
2026-04-05T18:15:49.937,9.8,97.14,79.7,79.7,0.0,10
2026-04-05T18:15:50.044,9.84,97.87,79.7,79.7,0.0,10
2026-04-05T18:15:50.149,9.86,99.23,79.7,79.7,0.0,9
2026-04-05T18:15:50.256,9.86,101.24,79.7,79.7,0.0,9
