timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections,confidence_score_avg,frame_drop_rate_percent
2026-04-19T13:43:57.972,1.73,578.81,68.6,87.1,0.0,9,0.5662,93.09
2026-04-19T13:43:58.343,1.83,266.71,68.6,87.1,0.0,8,0.5259,91.59
2026-04-19T13:43:58.485,1.98,127.45,68.9,95.1,0.0,10,0.4932,89.02
2026-04-19T13:43:58.603,2.15,108.77,68.9,95.1,0.0,8,0.5401,86.79
2026-04-19T13:43:58.723,2.32,110.14,68.9,95.1,0.0,8,0.5647,84.97
2026-04-19T13:43:58.837,2.51,105.17,68.9,95.1,0.0,8,0.5511,83.39
2026-04-19T13:43:58.958,2.71,115.21,68.9,84.4,0.0,9,0.5515,82.12
2026-04-19T13:43:59.063,2.92,99.65,68.9,84.4,0.0,9,0.5192,80.84
2026-04-19T13:43:59.171,3.14,100.0,68.9,84.4,0.0,7,0.5535,79.76
2026-04-19T13:43:59.278,3.37,98.25,68.9,84.4,0.0,11,0.484,78.79
2026-04-19T13:43:59.386,3.62,99.18,68.9,84.4,0.0,9,0.4997,77.93
2026-04-19T13:43:59.500,3.85,105.31,68.9,81.1,0.0,8,0.5601,77.23
2026-04-19T13:43:59.609,4.11,99.42,68.9,81.1,0.0,9,0.5389,76.54
2026-04-19T13:43:59.719,4.36,100.67,68.9,81.1,0.0,9,0.5118,75.93
2026-04-19T13:43:59.823,4.63,98.85,68.9,81.1,0.0,11,0.4978,75.32
2026-04-19T13:43:59.940,4.87,107.68,68.9,80.0,0.0,12,0.4778,74.88
2026-04-19T13:44:00.053,5.12,107.03,68.9,80.0,0.0,10,0.5148,74.44
2026-04-19T13:44:00.161,5.38,99.62,68.9,80.0,0.0,10,0.5523,74.0
2026-04-19T13:44:00.270,5.64,98.98,68.9,80.0,0.0,12,0.5091,73.59
2026-04-19T13:44:00.377,5.91,97.61,68.9,80.0,0.0,11,0.5078,73.2
2026-04-19T13:44:00.491,6.15,103.55,68.9,80.8,0.0,11,0.5168,72.89
2026-04-19T13:44:00.601,6.39,100.44,68.9,80.8,0.0,9,0.5499,72.57
2026-04-19T13:44:00.704,6.64,97.98,68.9,80.8,0.0,11,0.5142,72.22
2026-04-19T13:44:00.813,6.88,98.86,68.9,80.8,0.0,12,0.5247,71.93
2026-04-19T13:44:00.928,7.07,105.8,68.9,80.2,0.0,12,0.5087,71.72
2026-04-19T13:44:01.032,7.29,98.16,68.9,80.2,0.0,9,0.5699,71.43
2026-04-19T13:44:01.142,7.48,102.0,68.9,80.2,0.0,10,0.5635,71.2
2026-04-19T13:44:01.253,7.67,101.84,68.9,80.2,0.0,12,0.5424,70.99
2026-04-19T13:44:01.359,7.86,98.29,68.9,80.2,0.0,10,0.65,70.75
2026-04-19T13:44:01.468,8.01,102.74,68.9,81.4,0.0,11,0.5997,70.56
2026-04-19T13:44:01.575,8.19,97.55,68.9,81.4,0.0,11,0.6245,70.36
2026-04-19T13:44:01.679,8.37,96.88,68.9,81.4,0.0,10,0.579,70.14
2026-04-19T13:44:01.789,8.5,100.66,68.9,81.4,0.0,10,0.5795,69.98
2026-04-19T13:44:01.898,8.64,98.89,68.9,81.4,0.0,11,0.5962,69.81
2026-04-19T13:44:02.010,8.71,105.93,68.9,79.3,0.0,8,0.6063,69.68
2026-04-19T13:44:02.116,8.84,98.25,68.9,79.3,0.0,8,0.5591,69.52
2026-04-19T13:44:02.515,7.09,392.1,68.4,90.2,0.0,10,0.5454,71.11
2026-04-19T13:44:02.621,7.3,100.29,68.4,90.2,0.0,8,0.6011,70.93
