timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections,confidence_score_avg,frame_drop_rate_percent
2026-04-19T14:44:25.006,7.94,125.99,81.3,0.0,0.0,9,0.5472,68.25
2026-04-19T14:44:25.443,8.52,39.35,81.5,43.1,0.0,8,0.5276,85.83
2026-04-19T14:44:25.534,9.19,32.0,81.5,43.1,0.0,10,0.5189,81.68
2026-04-19T14:44:25.584,9.9,30.98,81.5,43.1,0.0,10,0.4998,77.32
2026-04-19T14:44:25.631,10.63,31.45,81.5,43.1,0.0,8,0.5675,73.43
2026-04-19T14:44:25.681,11.38,32.6,81.5,43.1,0.0,9,0.5197,70.08
2026-04-19T14:44:25.729,12.13,33.27,81.5,43.1,0.0,9,0.5491,67.09
2026-04-19T14:44:25.790,12.9,33.42,81.5,43.1,0.0,9,0.506,64.89
2026-04-19T14:44:25.845,13.63,35.7,81.5,43.1,0.0,7,0.5467,62.75
2026-04-19T14:44:25.895,14.42,33.38,81.5,64.6,0.0,10,0.4941,60.66
2026-04-19T14:44:25.946,15.27,30.82,81.5,64.6,0.0,9,0.4848,58.78
2026-04-19T14:44:25.991,16.17,28.94,81.5,64.6,0.0,7,0.5921,56.85
2026-04-19T14:44:26.039,16.96,32.82,81.5,64.6,0.0,9,0.5332,55.19
2026-04-19T14:44:26.088,17.76,32.67,81.5,64.6,0.0,9,0.5112,53.7
2026-04-19T14:44:26.131,18.74,26.73,81.5,64.6,0.0,11,0.4947,52.09
2026-04-19T14:44:26.172,19.77,25.63,81.5,64.6,0.0,11,0.4951,50.51
2026-04-19T14:44:26.214,20.78,26.03,81.5,64.6,0.0,9,0.54,49.09
2026-04-19T14:44:26.255,21.74,26.7,81.5,64.6,0.0,10,0.5493,47.7
2026-04-19T14:44:26.296,22.76,25.56,81.5,64.6,0.0,12,0.5098,46.37
2026-04-19T14:44:26.336,23.75,25.54,81.5,64.6,0.0,11,0.5122,45.12
2026-04-19T14:44:26.377,24.68,26.23,81.5,64.6,0.0,8,0.6113,43.96
2026-04-19T14:44:26.417,25.65,25.28,81.4,48.5,0.0,8,0.578,42.8
2026-04-19T14:44:26.458,26.53,26.01,81.4,48.5,0.0,9,0.5707,41.76
2026-04-19T14:44:26.500,27.34,26.44,81.4,48.5,0.0,11,0.5443,40.78
2026-04-19T14:44:26.540,28.21,25.32,81.4,48.5,0.0,11,0.5282,39.82
2026-04-19T14:44:26.581,29.0,25.77,81.4,48.5,0.0,10,0.5412,38.92
2026-04-19T14:44:26.623,29.71,26.23,81.4,48.5,0.0,10,0.56,38.07
2026-04-19T14:44:26.663,30.48,25.18,81.4,48.5,0.0,12,0.5704,37.23
2026-04-19T14:44:26.704,31.13,26.02,81.4,48.5,0.0,12,0.6173,36.45
2026-04-19T14:44:26.745,31.73,26.0,81.4,48.5,0.0,10,0.6345,35.71
2026-04-19T14:44:26.786,32.3,25.96,81.4,48.5,0.0,11,0.5952,35.0
2026-04-19T14:44:26.827,32.89,25.42,81.4,48.5,0.0,10,0.5823,34.29
2026-04-19T14:44:26.868,33.39,25.8,81.4,48.5,0.0,9,0.6152,33.63
2026-04-19T14:44:26.908,33.87,25.77,80.9,49.4,0.0,11,0.5948,32.99
2026-04-19T14:44:26.948,34.37,25.2,80.9,49.4,0.0,8,0.6067,32.35
2026-04-19T14:44:26.988,34.8,25.51,80.9,49.4,0.0,8,0.5609,31.75
2026-04-19T14:44:27.029,35.25,25.09,80.9,49.4,0.0,10,0.545,31.16
2026-04-19T14:44:27.069,35.66,25.08,80.9,49.4,0.0,8,0.6003,30.59
2026-04-19T14:44:27.109,35.96,25.72,80.9,49.4,0.0,9,0.6021,30.06
