timestamp,state_cpu_percent,state_ram_percent,state_temperature,state_fps,state_latency_ms,action_imgsz_raw,action_skip_raw,action_imgsz_applied,action_skip_applied,reward,next_state_cpu_percent,next_state_ram_percent,next_state_temperature,next_state_fps,next_state_latency_ms,done
2026-05-08T22:11:20.905,47.7,32.5,50.15,2.9552898865329853,338.376280633896,0.6491743002668151,-0.012314605175210769,576,0.4938426974123946,820.9661458831711,57.1,32.8,50.15,3.4814939619718563,287.233012874053,False
2026-05-08T22:11:23.130,57.1,32.8,50.15,3.4814939619718563,287.233012874053,0.9824295623556885,0.505275280610219,640,0.7526376403051095,863.3625351998514,54.2,32.5,52.35,3.322692366671489,300.9607540049671,False
2026-05-08T22:11:24.703,54.2,32.5,52.35,3.322692366671489,300.9607540049671,0.3247817469967289,-0.9256546796798295,512,0.03717266016008525,857.5983075894101,53.7,32.7,50.7,3.737091569503294,267.587770168798,False
2026-05-08T22:11:25.724,53.7,32.7,50.7,3.737091569503294,267.587770168798,-0.4133541492066446,0.7460022611758159,384,0.873001130587908,837.262499583204,55.9,32.7,51.25,5.320612560784149,187.94828388192593,False
2026-05-08T22:11:26.705,55.9,32.7,51.25,5.320612560784149,187.94828388192593,-0.556019316888847,-0.8763688397070626,352,0.06181558014646871,808.6354929110655,56.2,32.8,52.35,6.1419732133634835,162.81412589430317,False
2026-05-08T22:11:27.659,56.2,32.8,52.35,6.1419732133634835,162.81412589430317,-0.49330321583922343,-0.7094679498570251,352,0.14526602507148745,812.2184830480153,54.9,32.8,52.9,6.648801773876856,150.40304012807246,False
2026-05-08T22:11:28.923,54.9,32.8,52.9,6.648801773876856,150.40304012807246,-0.2205304227906193,-0.2045112970002525,416,0.39774435149987375,844.5475238865473,56.1,32.7,51.25,6.100138061552441,163.9307159788294,False
2026-05-08T22:11:31.057,56.1,32.7,51.25,6.100138061552441,163.9307159788294,0.9029788912740302,-0.19548446623270133,608,0.40225776688364934,827.9626074221903,59.1,32.0,50.7,4.688072526942482,213.30728017814837,False
2026-05-08T22:11:32.197,59.1,32.0,50.7,4.688072526942482,213.30728017814837,-0.5919972246812699,0.40053724461545803,320,0.700268622307729,687.3260727173245,62.1,31.4,51.25,5.878444285667234,170.11303525291382,False
2026-05-08T22:11:33.646,62.1,31.4,51.25,5.878444285667234,170.11303525291382,-0.7020107127108441,0.8740524194760211,320,0.9370262097380105,784.4788914205404,55.0,31.2,52.35,6.821606359117879,146.59303796727914,False
2026-05-08T22:11:35.475,55.0,31.2,52.35,6.821606359117879,146.59303796727914,0.6240668426945588,-0.3608682639877323,576,0.31956586800613385,888.2190348488346,54.1,30.9,51.8,5.319668661501015,187.98163262255449,False
2026-05-08T22:11:38.563,54.1,30.9,51.8,5.319668661501015,187.98163262255449,0.9693583838535667,0.9862709697470193,640,0.9931354848735097,681.3553350227961,54.7,31.0,52.9,4.492523620141797,222.59204058863403,False
2026-05-08T22:11:40.448,54.7,31.0,52.9,4.492523620141797,222.59204058863403,0.5856792680078915,0.5976202643174207,576,0.7988101321587103,563.3102723400375,57.0,30.9,52.9,4.123427882042886,242.51667025750575,False
2026-05-08T22:11:42.291,57.0,30.9,52.9,4.123427882042886,242.51667025750575,0.00028873064781609337,0.9058199517712098,448,0.9529099758856049,670.2083458929104,57.8,30.9,51.25,4.927049856220874,202.96120988859164,False
2026-05-08T22:11:42.988,57.8,30.9,51.25,4.927049856220874,202.96120988859164,-0.9986154194862016,-0.7483819112563039,256,0.12580904437184803,721.842404400656,54.5,30.9,52.35,7.750507466642857,129.0238096413513,False
2026-05-08T22:11:44.315,54.5,30.9,52.35,7.750507466642857,129.0238096413513,-0.816363991751063,0.8492587236393538,288,0.9246293618196769,734.1461367764427,64.5,30.9,53.45,8.120372692918513,123.14705713840748,False
2026-05-08T22:11:45.141,64.5,30.9,53.45,8.120372692918513,123.14705713840748,-0.6082393819171668,-0.48566369911562735,320,0.2571681504421863,641.4619059530767,55.1,30.8,50.7,8.33632902860044,119.95687748998157,False
2026-05-08T22:11:47.184,55.1,30.8,50.7,8.33632902860044,119.95687748998157,-0.8863812528560806,0.9307663125248697,288,0.9653831562624349,597.5223829464019,65.8,30.8,53.45,9.919079636766993,100.81580515729564,False
2026-05-08T22:11:48.820,65.8,30.8,53.45,9.919079636766993,100.81580515729564,0.5567698728347648,0.5993526348013061,544,0.799676317400653,814.2475882527067,55.5,30.7,52.9,7.175440037051498,139.36427519933898,False
2026-05-08T22:11:49.983,55.5,30.7,52.9,7.175440037051498,139.36427519933898,-0.42743460643617404,0.7119098119739178,352,0.8559549059869589,675.8154826098704,58.5,30.8,53.45,7.085649081525721,141.13033096816508,False
2026-05-08T22:11:51.925,58.5,30.8,53.45,7.085649081525721,141.13033096816508,0.7875504665664332,-0.6847297247599891,608,0.15763513762000547,736.434671009527,61.1,30.8,50.7,5.346012522624001,187.05530444757858,False
2026-05-08T22:11:53.524,61.1,30.8,50.7,5.346012522624001,187.05530444757858,0.5290427654666869,0.11645166970962073,544,0.5582258348548104,720.8293456058224,57.6,30.8,51.8,4.795428880706828,208.53192172721867,False
2026-05-08T22:11:54.966,57.6,30.8,51.8,4.795428880706828,208.53192172721867,0.2852736660028703,-0.7271200235312396,512,0.1364399882343802,205.30918066577917,56.9,30.8,51.8,4.657384806487995,214.71277155517504,False
2026-05-08T22:11:57.308,56.9,30.8,51.8,4.657384806487995,214.71277155517504,-0.6985258917645221,0.9434561265711676,320,0.9717280632855838,504.1473696236487,62.9,30.7,52.9,7.369941437144128,135.68628849071325,False
2026-05-08T22:12:01.856,62.9,30.7,52.9,7.369941437144128,135.68628849071325,-0.4945394518352848,0.9803797135925676,352,0.9901898567962838,651.7268034632817,57.6,30.4,53.45,8.492613472233428,117.74938342237013,False
